date,racetrack,event_name,grade,event_type
2022/4/8,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／８～,普通,ミッドナイト
2022/4/9,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／７～,普通,ナイター
2022/4/9,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／８～,普通,ミッドナイト
2022/4/9,川口,令和４年度川口市営　普通開催　４／９～,普通,デイ
2022/4/10,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／７～,普通,ナイター
2022/4/10,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／８～,普通,ミッドナイト
2022/4/10,川口,令和４年度川口市営　普通開催　４／９～,普通,デイ
2022/4/11,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／７～,普通,ナイター
2022/4/11,川口,令和４年度川口市営　普通開催　４／９～,普通,デイ
2022/4/12,川口,令和４年度川口市営　普通開催　４／９～,普通,デイ
2022/4/13,山陽,ＧⅠ令和グランドチャンピオンカップ,GI,デイ
2022/4/13,川口,令和４年度川口市営　川口ナイトレース　４／１３～,普通,ナイター
2022/4/14,山陽,ＧⅠ令和グランドチャンピオンカップ,GI,デイ
2022/4/14,川口,令和４年度川口市営　川口ナイトレース　４／１３～,普通,ナイター
2022/4/15,山陽,ＧⅠ令和グランドチャンピオンカップ,GI,デイ
2022/4/15,川口,令和４年度川口市営　川口ナイトレース　４／１３～,普通,ナイター
2022/4/16,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／１６～,普通,ナイター
2022/4/16,山陽,ＧⅠ令和グランドチャンピオンカップ,GI,デイ
2022/4/17,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／１６～,普通,ナイター
2022/4/17,山陽,ＧⅠ令和グランドチャンピオンカップ,GI,デイ
2022/4/18,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／１６～,普通,ナイター
2022/4/18,川口,令和４年度川口市営　普通開催　４／１８～,普通,デイ
2022/4/19,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／１６～,普通,ナイター
2022/4/19,川口,令和４年度川口市営　普通開催　４／１８～,普通,デイ
